"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"70234434","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΒΕ9343","05/07/2024","05/10/2024","ΑΤΤΙΚΗΣ",7.62,5.48,1.32,19
"34039861","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΕ9343","05/07/2024","05/10/2024","ΑΤΤΙΚΗΣ",60.97,41.74,4.17,19
"785797","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΕ9343","05/04/2024","05/07/2024","ΑΤΤΙΚΗΣ",1,0.72,0.08,19
"70251969","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΧΥ9499","30/07/2024","30/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",30.01,21.78,5.23,16
"34059705","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΧΥ9499","30/07/2024","30/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",145,99.33,9.93,16
"33770961","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΟΤΟ108","13/11/2023","13/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",74.83,51.14,5.11,16
"668701","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΟΤΟ108","13/11/2023","13/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",4,2.9,0.32,16
"963750","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΟΤΟ108","13/11/2023","13/11/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",24,16.7,4.01,16
"881153","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΧΥ9499","30/07/2024","30/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",5.5,3.98,0.88,16
"212350024","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΥΕ2412","10/01/2024","10/07/2024","ΑΤΤΙΚΗΣ",13.63,9.83,1.38,7
"70243192","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΥΕ2412","10/07/2024","08/01/2025","ΑΤΤΙΚΗΣ",14.85,10.75,2.58,7
"61514926","myZen by Groupama","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΕ2412","10/01/2024","10/07/2024","ΑΤΤΙΚΗΣ",95.95,68.64,3.46,7
"61514926","myZen by Groupama","ΑΥΤΟΚΙΝΗΤΟ","ΙΥΕ2412","10/07/2024","08/01/2025","ΑΤΤΙΚΗΣ",98.09,70.18,3.54,7
"713137","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΥΕ2412","10/01/2024","10/07/2024","ΑΤΤΙΚΗΣ",2,1.45,0.16,7
"861760","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΥΕ2412","10/07/2024","08/01/2025","ΑΤΤΙΚΗΣ",2.47,1.79,0.39,7
"808839","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΜΑ4910","30/04/2024","30/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",4,2.9,0.32,23
"33976275","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΜΑ4910","30/04/2024","30/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",168.86,115.73,11.57,23
"70172721","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΜΑ4910","30/04/2024","30/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",27,19.58,2.74,23
"33864035","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΧΕΥ9011","15/02/2024","15/08/2024","ΑΤΤΙΚΗΣ",148.32,101.83,10.18,20
"742009","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΧΕΥ9011","15/02/2024","15/08/2024","ΑΤΤΙΚΗΣ",2,1.45,0.16,20
"883222","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΡ1526","28/07/2024","28/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",5.5,3.98,0.88,26
"70257369","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΙΡ1526","28/07/2024","28/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",30.01,21.78,5.23,26
"34077397","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΡ1526","28/07/2024","28/07/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",169.42,116.06,11.61,26
"33900035","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΗΝ5930","26/02/2024","26/02/2025","ΑΤΤΙΚΗΣ",201.13,137.29,13.73,21
"753548","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΗΝ5930","26/02/2024","26/02/2025","ΑΤΤΙΚΗΣ",4,2.9,0.32,21
"70109083","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΗΝ5930","26/02/2024","26/02/2025","ΑΤΤΙΚΗΣ",27,19.58,4.7,21
